"NOVA SOURE-BA
NOVO TRIUNFO-BA",,,"BA
BA",,,"69,99
57,02",,,,,,,,"-
-",,,,,,"69,99
57,02",,,,,,,,"353,16
287,75",,,,,,,,
OLINDINA-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
OURICANGAS-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
OUROLANDIA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
PARIPIRANGA-BA,,,BA,,,"69,99",,,,,,,,-,,,,,,"69,99",,,,,,,,"353,16",,,,,,,,
PAULO AFONSO-BA,,,BA,,,"95,91",,,,,,,,-,,,,,,"95,91",,,,,,,,"483,96",,,,,,,,
PE DE SERRA-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
PEDRAO-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,"62,21",,,,,,,,-,,,,,,"62,21",,,,,,,,"313,91",,,,,,,,
"PINTADAS-BA
PIRITIBA-BA",,,"BA
BA",,,"54,43
64,80",,,,,,,,"-
-",,,,,,"54,43
64,80",,,,,,,,"274,67
327,00",,,,,,,,
PLANALTINO-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
PLANALTO-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
POCOES-BA,,,BA,,,"80,35",,,,,,,,-,,,,,,"80,35",,,,,,,,"405,47",,,,,,,,
