MANOEL VITORINO-BA,,,,BA,,,"69,28",,,,,,,,-,,,,,,"69,28",,,,,,,"251,70",,,,,,,,,,,,
MARACAS-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,"89,49",,,,,,,,-,,,,,,"89,49",,,,,,,"325,12",,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
MATA DE SÃO JOAO-BA,,,,BA,,,"176.916,15",,,,,,,,"71.747,71",,,,,,"248.663,86",,,,,,,"696.822,22",,,,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
MILAGRES-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
MIRANTE-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,"92,37",,,,,,,,-,,,,,,"92,37",,,,,,,"335,60",,,,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
MURITIBA-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
