IGUAI-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.347,35",,,,,,,,,
ILHEUS-BA,,,,,,,,BA,,"2.169,14",,,,,,-,,,,,,"2.169,14",,,,,,,"15.329,38",,,,,,,,,
INHAMBUPE-BA,,,,,,,,BA,,"2.790,32",,,,,,"621,02",,,,,,"3.411,34",,,,,,,"30.104,39",,,,,,,,,
IPECAETA-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.156,63",,,,,,,,,
IPIAU-BA,,,,,,,,BA,,"1.681,08",,,,,,-,,,,,,"1.681,08",,,,,,,"11.880,26",,,,,,,,,
IPIRA-BA,,,,,,,,BA,,"1.789,54",,,,,,-,,,,,,"1.789,54",,,,,,,"12.646,75",,,,,,,,,
IRAJUBA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
IRARA-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.347,35",,,,,,,,,
ITABELA-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.347,35",,,,,,,,,
ITABERABA-BA,,,,,,,,BA,,"1.789,54",,,,,,-,,,,,,"1.789,54",,,,,,,"12.646,75",,,,,,,,,
ITABUNA-BA,,,,,,,,BA,,"2.169,14",,,,,,-,,,,,,"2.169,14",,,,,,,"15.329,38",,,,,,,,,
ITACARE-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.429,28",,,,,,,,,
ITAGI-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.390,14",,,,,,,,,
ITAGIBA-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.197,64",,,,,,,,,
ITAGIMIRIM-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ITAJU DO COLONIA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ITAJUIPE-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.964,07",,,,,,,,,
ITAMARAJU-BA,,,,,,,,BA,,"1.843,77",,,,,,-,,,,,,"1.843,77",,,,,,,"13.029,97",,,,,,,,,
