MIRANTE-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
MONTE SANTO-BA,,,BA,,,,"119,60",,,,,,-,,,,,"119,60",,,,,"119,60",,,,,,,,,
MUNDO NOVO-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
MUNIZ FERREIRA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
MURITIBA-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
MUTUIPE-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
NAZARE-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
NORDESTINA-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
NOVA CANAA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
NOVA FATIMA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
NOVA ITARANA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
NOVA SOURE-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
NOVO TRIUNFO-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
OLINDINA-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
OURICANGAS-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
OUROLANDIA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
PARIPIRANGA-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
PAULO AFONSO-BA,,,BA,,,,"138,29",,,,,,-,,,,,"138,29",,,,,"138,29",,,,,,,,,
PE DE SERRA-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
PEDRAO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
PINTADAS-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
PIRITIBA-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
PLANALTINO-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
PLANALTO-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
POCOES-BA,,,BA,,,,"115,86",,,,,,-,,,,,"115,86",,,,,"115,86",,,,,,,,,
POJUCA-BA,,,BA,,,,"659.055,26",,,,,,"619.817,82",,,,,"1.278.873,08",,,,,"1.278.873,08",,,,,,,,,
QUEIMADAS-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
QUIJINGUE-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
QUIXABEIRA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
RAFAEL JAMBEIRO-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
RETIROLANDIA-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
RIACHAO DO JACUIPE-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
