MURITIBA-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTUIPE-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
NAZARE-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
NORDESTINA-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
NOVA CANAA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
NOVA FATIMA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
NOVA ITARANA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
NOVA SOURE-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
NOVO TRIUNFO-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
OLINDINA-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
